S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82
42.75623,39.960854,24.81823,20.560434,23.13664,31.861973,35.541542,29.769724,35.100895,30.70705,27.283113,29.744467,39.975796,44.390396,40.052155,31.442549,30.151104,22.009295,23.134493,31.447994,32.724182,44.326923,31.235765,21.838074,26.23947,16.747547,31.857845,31.561232,45.351295,26.47153,23.759212,24.164692,21.300909,32.04804,41.609585,43.13604,32.56249,22.322502,17.452665,20.09048,33.910812,35.91483,43.426292,32.414486,27.950583,22.362991,26.700953,26.534676,39.88755,34.251358,38.089725,23.218977,23.20357,26.235235,38.182014,42.20537,44.97628,37.7675,27.523699,26.09684,34.566124,38.43445,39.76462,48.535763,24.89602,26.156563,24.345554,27.204157,35.164463,38.35762,36.73484,29.964102,22.562222,19.891514,22.207996,32.4946,35.619255,38.609825,31.991632,26.363499,23.066866,28.743532,34.430138
43.969296,39.887276,27.886053,30.652817,30.67408,39.19033,39.877098,46.512806,45.240772,36.61109,37.5512,39.650364,43.38396,47.257664,45.102463,37.779594,36.67887,33.88492,33.969612,43.2268,47.895462,46.375763,37.830616,34.613243,29.629156,35.245895,36.760582,34.87975,45.46376,38.798733,37.04205,29.501873,29.451788,39.956722,44.964184,48.037987,36.253803,33.752342,32.169865,36.27681,36.960323,40.77499,39.41952,36.146214,30.072083,37.040417,31.701477,39.906662,44.193966,41.812714,39.757526,35.45242,34.23981,34.40507,37.579052,49.203644,41.34486,43.463715,36.938725,33.607876,30.02113,40.334766,47.01757,47.294994,40.134598,33.397476,25.392986,34.855236,39.45257,42.52461,40.915764,35.795288,35.890594,30.497972,31.957785,34.558647,37.430264,40.72721,37.201084,33.13941,32.082027,36.83149,38.35761
24.024265,15.546156,15.208584,13.802775,14.888409,16.091248,17.198889,23.43772,15.918259,11.182382,13.354477,16.312288,15.822653,27.366259,22.309357,15.995631,17.416061,13.540124,15.827739,17.168549,21.478823,22.305223,15.7714205,21.659079,16.151913,19.550783,22.413015,23.784842,23.082079,19.019794,16.563337,16.951986,15.274156,22.763252,24.86256,24.601538,18.248913,19.74623,20.486551,11.810468,15.973045,21.262768,20.843904,18.799679,16.523424,16.791506,16.223764,17.172699,26.420582,24.59043,16.71817,11.5071535,12.65616,16.91671,16.015293,16.478897,26.075903,19.93768,17.54154,18.837246,20.190079,15.950606,26.835308,17.90636,18.05578,21.198652,19.567724,20.640896,22.661793,23.034504,23.315449,18.00512,21.453852,20.183096,17.10749,21.723211,21.34351,21.267643,18.283184,19.192465,17.958445,17.808332,20.270073
55.2978,42.901665,51.05171,51.34723,54.34874,53.00919,58.36944,63.747883,56.65838,53.30795,50.21185,44.963173,51.585903,59.18236,60.77631,40.164486,46.55669,45.217606,45.371502,47.727806,56.730488,58.298126,42.339092,46.84303,48.22411,43.966682,45.723885,55.96055,65.47601,47.765385,39.429646,47.962883,49.38388,41.3457,58.674488,59.22959,45.46757,48.722687,50.869408,49.320072,44.828342,54.98398,55.720177,43.0419,49.412273,46.520588,35.23279,44.893185,57.0448,53.98816,44.441498,47.44098,52.472054,47.87407,51.227623,56.812073,58.6188,47.50815,46.97532,44.055363,43.46749,52.82385,57.178818,60.471268,38.2521,41.481018,46.434048,36.009514,53.513634,58.424404,57.955467,40.828922,48.46677,50.39478,47.1229,48.282993,56.344124,55.81175,45.056118,46.407856,48.17228,42.11721,51.072258
33.03501,33.034706,33.03132,33.027348,33.023518,33.019165,33.024326,33.022194,33.029,33.022495,33.02758,33.020645,33.02284,33.05493,33.03553,33.03304,33.02708,33.038506,33.04323,33.04762,33.050526,33.044846,33.046455,33.032143,33.047424,33.02028,33.040157,33.055622,33.055782,33.026768,33.041477,33.04436,33.023148,33.02896,33.05578,33.041004,33.02292,33.020607,33.028236,33.02198,33.05917,33.046818,33.04718,33.040184,33.02449,33.01146,33.01069,33.030575,33.026096,33.02298,33.01986,33.025387,33.035213,33.031097,33.026497,33.031124,33.032047,33.031395,33.008633,33.016823,33.018425,33.03489,33.052082,33.03408,33.0324,33.032394,33.046246,33.026127,33.041927,33.035988,33.02887,33.038006,33.023464,33.040867,33.0392,33.022045,33.05849,33.046314,33.00964,33.00437,31.860918,32.141853,36.79497
25.521002,25.99125,23.724993,25.430733,23.243437,23.932026,35.201588,34.97491,24.336386,23.237066,24.036737,28.006266,27.121136,28.078709,28.09814,21.301414,24.670347,20.489271,18.99035,25.981968,26.554213,26.330017,23.971563,24.007915,23.335503,24.273521,27.159737,31.124577,30.801315,23.618587,24.207485,22.33739,20.698244,23.657084,25.625193,25.15346,22.165098,23.856289,25.226206,23.340471,24.15781,31.697569,26.36886,24.54496,22.27211,22.886694,22.956194,26.797375,27.507269,27.054132,26.368351,21.520863,25.74702,23.642344,24.756582,26.342472,26.754911,24.409132,20.912561,21.588312,24.832407,29.35115,24.254124,25.388578,23.523712,22.31193,25.04986,19.122698,27.60358,30.543745,28.054249,21.891943,25.145012,25.708124,20.143713,24.42975,25.637047,24.811335,23.388357,24.274757,23.519331,22.21015,25.355223
35.542076,23.590933,16.970573,15.611074,17.499031,23.920511,31.70899,29.293337,34.534805,27.481068,22.85634,23.394678,30.560366,25.171915,37.868866,27.696264,18.414993,19.310036,20.509514,26.148182,27.936247,35.934937,31.03591,18.961557,13.424577,16.317617,26.751856,33.915855,39.57529,26.340528,17.978159,12.8915825,17.534002,25.188078,31.302122,26.186422,27.361643,18.18097,19.518831,16.565987,27.926908,31.014584,31.035385,28.4637,15.54825,13.604816,15.422784,26.172518,25.49686,36.27971,28.878105,12.950895,13.005605,15.728808,25.489815,30.16605,30.164803,32.98227,24.516777,21.210545,25.101805,30.334637,32.331917,37.544296,24.608187,24.234753,14.824695,18.371367,26.919466,30.88528,30.592203,22.101908,13.438177,18.40896,16.378113,23.953989,28.523127,31.829117,26.543934,18.909447,19.068375,20.411348,25.988651
20.083422,17.44098,18.31471,18.261213,15.815252,19.170628,19.237492,19.243402,18.60052,19.153564,18.989723,17.699469,19.106398,19.455547,19.433275,18.706871,20.215166,18.462114,21.454166,22.810087,23.009928,22.98505,20.367107,19.769892,18.962572,21.6242,24.37046,24.549742,24.50924,21.66619,21.377165,18.476683,18.332785,21.883648,22.100767,22.02976,15.401853,20.771257,19.364265,18.831638,22.011711,22.030624,22.034096,18.300621,19.269165,20.47288,18.472927,22.675774,22.874966,22.890417,18.264345,17.378809,16.492939,16.010834,19.160284,19.302984,19.20763,19.148209,18.201923,19.050663,19.142143,19.184793,19.541904,19.515324,19.48871,19.693613,24.388117,22.713747,24.503838,24.430653,24.415182,16.954165,20.294197,20.32345,19.626905,23.509918,23.584845,23.519493,22.11759,22.261082,19.425743,21.310396,22.266985
29.04119,29.037367,29.030497,29.022833,29.035358,29.009953,29.02024,29.026903,29.035877,29.034443,29.021025,29.022379,29.019827,29.091223,29.077543,29.037128,29.03879,29.0458,29.064436,29.049053,29.079533,29.078196,29.055883,29.055185,29.059776,29.039482,29.05577,29.070797,29.081848,29.0425,29.062098,29.06144,28.920135,29.052732,29.084152,29.075686,29.041683,29.065321,29.069967,29.04556,29.093273,29.068161,29.064772,29.053696,29.05266,29.035074,29.020668,29.03732,27.630985,27.629877,29.063055,29.009144,29.01681,29.024565,29.03008,29.0276,29.039358,29.010195,29.009827,29.928947,29.005848,29.047533,29.063658,29.053802,29.098398,29.068333,26.875633,29.072462,29.098534,29.103024,29.092415,29.072132,29.043182,29.045475,29.049736,27.43289,27.892311,28.030178,29.12554,28.033175,29.728682,29.561575,29.713291
35.29364,29.62691,32.01127,26.597582,24.788906,32.738354,35.49976,35.34965,15.17939,19.733776,29.453321,21.786367,33.192184,35.773,35.51387,31.181181,25.351517,27.255142,26.025698,26.973059,35.40407,35.484135,14.128243,25.104235,28.405006,22.999052,25.633411,35.477364,35.486786,21.072649,19.036444,28.823057,30.012394,30.486198,35.290024,35.14332,28.565231,24.425793,28.412737,24.210667,32.900578,35.25378,35.345627,21.757153,29.142866,24.389568,28.002079,31.847908,35.541145,35.48132,28.017214,33.39476,22.360512,23.720432,33.00359,35.656967,35.719063,22.44019,21.308943,30.772377,21.9414,32.94323,35.69065,34.54971,32.216038,24.134577,25.10952,24.882305,25.33951,35.283913,35.29814,23.344503,23.111525,27.90173,21.26959,26.135727,31.938232,31.914715,24.955576,34.876553,34.173798,33.607597,30.123455
