Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,1.2901027884251291e-06,1.001262,1.016194,10172.50
2,1.2901027884251291e-06,1.000843,1.015761,10172.50
3,1.2901027884251291e-06,1.000433,1.015281,10172.50
4,1.2901027884251291e-06,1.000040,1.014833,10172.50
5,1.2901027884251291e-06,0.999661,1.014398,10172.50
6,1.2901027884251291e-06,0.999303,1.014009,10172.50
7,1.2901027884251291e-06,0.998980,1.013655,10172.50
8,1.2901027884251291e-06,0.998669,1.013354,10172.50
9,1.2901027884251291e-06,0.998387,1.013060,10172.50
10,1.2901027884251291e-06,0.998127,1.012806,10172.50
11,1.2901027884251291e-06,0.997895,1.012566,10172.50
12,1.2901027884251291e-06,0.997650,1.012362,10172.50
13,1.2901027884251291e-06,0.997448,1.012164,10172.50
14,1.2901027884251291e-06,0.997246,1.011986,10172.50
15,1.2901027884251291e-06,0.997052,1.011830,10172.50
16,1.2901027884251291e-06,0.996860,1.011669,10172.50
17,1.2901027884251291e-06,0.996681,1.011516,10172.50
18,1.1178706587797112e-06,0.996522,1.011354,10172.50
19,1.1178706587797112e-06,0.996337,1.011225,10172.50
20,1.1178706587797112e-06,0.996195,1.011087,10172.50
21,1.1178706587797112e-06,0.996042,1.010952,10172.50
22,1.1178706587797112e-06,0.995898,1.010824,10172.50
23,1.1178706587797112e-06,0.995756,1.010671,10172.50
24,1.1178706587797112e-06,0.995601,1.010546,10172.50
25,1.1178706587797112e-06,0.995464,1.010404,10172.50
26,1.1178706587797112e-06,0.995311,1.010270,10172.50
27,1.1178706587797112e-06,0.995172,1.010127,10172.50
28,1.1178706587797112e-06,0.995039,1.009975,10172.50
29,1.1178706587797112e-06,0.994893,1.009820,10172.50
30,1.1178706587797112e-06,0.994738,1.009676,10172.50
31,1.1178706587797112e-06,0.994603,1.009518,10172.50
32,1.1178706587797112e-06,0.994458,1.009352,10172.50
33,1.1178706587797112e-06,0.994287,1.009167,10172.50
34,1.1178706587797112e-06,0.994149,1.009007,10172.50
35,1.1178706587797112e-06,0.993992,1.008833,10172.50
36,9.686319733376097e-07,0.993843,1.008649,10172.50
37,9.686319733376097e-07,0.993709,1.008483,10172.50
38,9.686319733376097e-07,0.993571,1.008316,10172.50
39,9.686319733376097e-07,0.993444,1.008165,10172.50
40,9.686319733376097e-07,0.993299,1.007979,10172.50
41,9.686319733376097e-07,0.993180,1.007784,10172.50
42,9.686319733376097e-07,0.993022,1.007606,10172.50
43,9.686319733376097e-07,0.992885,1.007421,10172.50
44,9.686319733376097e-07,0.992754,1.007254,10172.50
45,9.686319733376097e-07,0.992598,1.007055,10172.50
46,9.686319733376097e-07,0.992477,1.006861,10172.50
47,9.686319733376097e-07,0.992326,1.006657,10172.50
48,9.686319733376097e-07,0.992178,1.006442,10172.50
49,9.686319733376097e-07,0.992039,1.006223,10172.50
50,9.686319733376097e-07,0.991871,1.006016,10172.50
