Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,1.2898262450927577e-06,0.847363,0.682211,10615.55
2,1.2898262450927577e-06,0.552151,0.482955,10615.55
3,1.2898262450927577e-06,0.473488,0.451352,10615.55
4,1.2898262450927577e-06,0.452680,0.437864,10615.55
5,1.2898262450927577e-06,0.441410,0.430673,10615.55
6,1.2898262450927577e-06,0.434513,0.426117,10615.55
7,1.2898262450927577e-06,0.429821,0.422960,10615.55
8,1.2898262450927577e-06,0.426375,0.420660,10615.55
9,1.2898262450927577e-06,0.423707,0.418897,10615.55
10,1.2898262450927577e-06,0.421593,0.417470,10615.55
11,1.2898262450927577e-06,0.419717,0.416162,10615.55
12,1.2898262450927577e-06,0.418034,0.415021,10615.55
13,1.2898262450927577e-06,0.416563,0.413933,10615.55
14,1.2898262450927577e-06,0.415028,0.413005,10615.55
15,1.2898262450927577e-06,0.413621,0.412192,10615.55
16,1.2898262450927577e-06,0.412141,0.411256,10615.55
17,1.2898262450927577e-06,0.410815,0.410667,10615.55
18,1.2460324452773748e-06,0.409577,0.409849,10615.55
19,1.2460324452773748e-06,0.408474,0.409489,10615.55
20,1.2460324452773748e-06,0.407581,0.408975,10615.55
21,1.2460324452773748e-06,0.406760,0.408405,10615.55
22,1.2460324452773748e-06,0.406010,0.408005,10615.55
23,1.2460324452773748e-06,0.405369,0.407760,10615.55
24,1.2460324452773748e-06,0.404673,0.407273,10615.55
25,1.2460324452773748e-06,0.404104,0.406979,10615.55
26,1.2460324452773748e-06,0.403490,0.406437,10615.55
27,1.2460324452773748e-06,0.402952,0.406065,10615.55
28,1.2460324452773748e-06,0.402435,0.405713,10615.55
29,1.2460324452773748e-06,0.401942,0.405414,10615.55
30,1.2460324452773748e-06,0.401453,0.404978,10615.55
31,1.2460324452773748e-06,0.400913,0.404579,10615.55
32,1.2460324452773748e-06,0.400474,0.404257,10615.55
33,1.2460324452773748e-06,0.400056,0.403866,10615.55
34,1.2460324452773748e-06,0.399604,0.403589,10615.55
35,1.2460324452773748e-06,0.399191,0.403359,10615.55
36,1.2037255875284653e-06,0.398811,0.402931,10615.55
37,1.2037255875284653e-06,0.398347,0.402748,10615.55
38,1.2037255875284653e-06,0.397980,0.402468,10615.55
39,1.2037255875284653e-06,0.397636,0.402133,10615.55
40,1.2037255875284653e-06,0.397287,0.402072,10615.55
41,1.2037255875284653e-06,0.396900,0.401744,10615.55
42,1.2037255875284653e-06,0.396564,0.401612,10615.55
43,1.2037255875284653e-06,0.396249,0.401421,10615.55
44,1.2037255875284653e-06,0.395935,0.401198,10615.55
45,1.2037255875284653e-06,0.395613,0.401013,10615.55
46,1.2037255875284653e-06,0.395302,0.400696,10615.55
47,1.2037255875284653e-06,0.395026,0.400454,10615.55
48,1.2037255875284653e-06,0.394693,0.400164,10615.55
49,1.2037255875284653e-06,0.394432,0.400045,10615.55
50,1.2037255875284653e-06,0.394128,0.399888,10615.55
