Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,1.01761647757601e-06,1.002280,1.030806,10225.09
2,1.01761647757601e-06,1.000505,1.028933,10225.09
3,1.01761647757601e-06,0.999101,1.027290,10225.09
4,1.01761647757601e-06,0.997935,1.025798,10225.09
5,1.01761647757601e-06,0.996903,1.024459,10225.09
6,1.01761647757601e-06,0.995971,1.023203,10225.09
7,1.01761647757601e-06,0.995125,1.022017,10225.09
8,1.01761647757601e-06,0.994322,1.020918,10225.68
9,1.01761647757601e-06,0.993549,1.019839,10225.68
10,1.01761647757601e-06,0.992768,1.018760,10225.68
11,1.01761647757601e-06,0.991940,1.017651,10225.68
12,1.01761647757601e-06,0.991078,1.016447,10225.68
13,1.01761647757601e-06,0.990082,1.015080,10225.68
14,1.01761647757601e-06,0.988890,1.013367,10225.68
15,1.01761647757601e-06,0.987233,1.010739,10225.68
16,1.01761647757601e-06,0.984838,1.007182,10225.68
17,1.01761647757601e-06,0.981945,1.003344,10225.68
18,9.951608745049174e-07,0.978744,0.999276,10225.68
19,9.951608745049174e-07,0.975517,0.995708,10225.68
20,9.951608745049174e-07,0.972324,0.992317,10225.68
21,9.951608745049174e-07,0.969046,0.988923,10225.68
22,9.951608745049174e-07,0.965737,0.985619,10225.68
23,9.951608745049174e-07,0.962392,0.982354,10225.68
24,9.951608745049174e-07,0.959074,0.979192,10225.68
25,9.951608745049174e-07,0.955789,0.976188,10225.68
26,9.951608745049174e-07,0.952534,0.973279,10225.68
27,9.951608745049174e-07,0.949337,0.970474,10225.68
28,9.951608745049174e-07,0.946252,0.967728,10225.68
29,9.951608745049174e-07,0.943273,0.965075,10225.68
30,9.951608745049174e-07,0.940464,0.962528,10225.68
31,9.951608745049174e-07,0.937763,0.960116,10225.68
32,9.951608745049174e-07,0.935250,0.957827,10225.68
33,9.951608745049174e-07,0.932882,0.955674,10225.68
34,9.951608745049174e-07,0.930674,0.953645,10225.68
35,9.951608745049174e-07,0.928590,0.951715,10225.68
36,9.732007961431803e-07,0.926592,0.949887,10225.68
37,9.732007961431803e-07,0.924679,0.948159,10225.68
38,9.732007961431803e-07,0.922884,0.946516,10225.68
39,9.732007961431803e-07,0.921159,0.944913,10225.68
40,9.732007961431803e-07,0.919467,0.943355,10225.68
41,9.732007961431803e-07,0.917824,0.941842,10225.68
42,9.732007961431803e-07,0.916219,0.940344,10225.68
