Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,8e-05,1.677543,5.809366,4884.59
2,8e-05,1.234201,4.333309,4899.55
3,8e-05,1.093561,3.871227,4899.55
4,8e-05,1.027853,3.885197,4899.55
5,8e-05,0.978515,3.643840,4899.55
6,8e-05,0.950758,3.210289,4900.81
7,8e-05,0.936271,3.602631,4900.81
8,8e-05,0.919500,2.781616,4900.81
9,8e-05,0.912880,2.743736,4900.81
10,8e-05,0.906200,2.622593,4900.81
11,8e-05,0.893915,2.471262,4900.81
12,8e-05,0.885119,2.507911,4900.81
13,8e-05,0.877673,2.326341,4900.81
14,8e-05,0.874960,2.254374,4900.81
15,8e-05,0.874012,2.249724,4906.54
16,8e-05,0.870593,2.265026,4906.54
17,8e-05,0.865656,2.141298,4906.54
18,7.6e-05,0.859235,2.059384,4906.54
