Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,3.0668003418418752e-06,1.070858,1.139836,10172.50
2,3.0668003418418752e-06,1.068678,1.136835,10172.50
3,3.0668003418418752e-06,1.066490,1.133943,10172.50
4,3.0668003418418752e-06,1.064388,1.131104,10172.50
5,3.0668003418418752e-06,1.062339,1.128270,10172.50
6,3.0668003418418752e-06,1.060343,1.125510,10172.50
7,3.0668003418418752e-06,1.058417,1.122874,10172.50
8,3.0668003418418752e-06,1.056551,1.120256,10172.50
9,3.0668003418418752e-06,1.054737,1.117659,10172.50
10,3.0668003418418752e-06,1.052973,1.115207,10172.50
11,3.0668003418418752e-06,1.051270,1.112743,10172.50
12,3.0668003418418752e-06,1.049621,1.110289,10172.50
13,3.0668003418418752e-06,1.048000,1.107967,10172.50
14,3.0668003418418752e-06,1.046442,1.105729,10172.50
15,3.0668003418418752e-06,1.044971,1.103547,10172.50
16,3.0668003418418752e-06,1.043527,1.101458,10172.50
17,3.0668003418418752e-06,1.042151,1.099394,10172.50
18,2.8489056700176183e-06,1.040843,1.097470,10172.50
19,2.8489056700176183e-06,1.039638,1.095708,10172.50
20,2.8489056700176183e-06,1.038500,1.094037,10172.50
21,2.8489056700176183e-06,1.037418,1.092447,10172.50
22,2.8489056700176183e-06,1.036381,1.090914,10172.50
23,2.8489056700176183e-06,1.035397,1.089414,10172.50
24,2.8489056700176183e-06,1.034429,1.088016,10172.50
