Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,9.694907582309686e-06,1.000369,1.014071,10172.50
2,9.694907582309686e-06,0.998178,1.012543,10172.50
3,9.694907582309686e-06,0.996681,1.011403,10172.50
4,9.694907582309686e-06,0.995404,1.010092,10172.50
5,9.694907582309686e-06,0.994082,1.008399,10172.50
6,9.694907582309686e-06,0.992582,1.006070,10172.50
7,9.694907582309686e-06,0.990793,1.002831,10172.50
8,9.694907582309686e-06,0.988494,0.998384,10172.50
9,9.694907582309686e-06,0.985401,0.992555,10172.50
10,9.694907582309686e-06,0.981016,0.985458,10172.50
11,9.694907582309686e-06,0.974510,0.978049,10172.50
12,9.694907582309686e-06,0.966324,0.970219,10172.50
13,9.694907582309686e-06,0.958289,0.962576,10172.50
14,9.694907582309686e-06,0.950754,0.955744,10172.50
15,9.694907582309686e-06,0.943766,0.949580,10172.50
16,9.694907582309686e-06,0.937130,0.943811,10172.50
17,9.694907582309686e-06,0.930790,0.938332,10172.50
18,8.702764874334175e-06,0.924700,0.933144,10172.50
19,8.702764874334175e-06,0.919124,0.928633,10172.50
20,8.702764874334175e-06,0.914026,0.924326,10172.50
21,8.702764874334175e-06,0.909167,0.920138,10172.50
22,8.702764874334175e-06,0.904468,0.916183,10172.50
23,8.702764874334175e-06,0.899946,0.912294,10172.50
24,8.702764874334175e-06,0.895564,0.908564,10172.50
25,8.702764874334175e-06,0.891323,0.904872,10172.50
26,8.702764874334175e-06,0.887159,0.901267,10172.50
27,8.702764874334175e-06,0.883102,0.897696,10172.50
28,8.702764874334175e-06,0.879133,0.894216,10172.50
29,8.702764874334175e-06,0.875239,0.890687,10172.50
30,8.702764874334175e-06,0.871356,0.887287,10172.50
31,8.702764874334175e-06,0.867580,0.883863,10172.50
32,8.702764874334175e-06,0.863828,0.880536,10172.50
33,8.702764874334175e-06,0.860054,0.877164,10172.50
34,8.702764874334175e-06,0.856354,0.873805,10172.50
35,8.702764874334175e-06,0.852693,0.870528,10172.50
36,7.812154557939695e-06,0.849035,0.867036,10172.50
37,7.812154557939695e-06,0.845578,0.863944,10172.50
38,7.812154557939695e-06,0.842269,0.860747,10172.50
39,7.812154557939695e-06,0.838965,0.857536,10172.50
40,7.812154557939695e-06,0.835642,0.854090,10172.50
41,7.812154557939695e-06,0.832293,0.850663,10172.50
42,7.812154557939695e-06,0.828832,0.847107,10172.50
43,7.812154557939695e-06,0.825384,0.843664,10172.50
44,7.812154557939695e-06,0.821832,0.840435,10172.50
45,7.812154557939695e-06,0.818287,0.836803,10172.50
46,7.812154557939695e-06,0.814571,0.832767,10172.50
47,7.812154557939695e-06,0.810664,0.828432,10172.50
48,7.812154557939695e-06,0.806842,0.823771,10172.50
49,7.812154557939695e-06,0.802564,0.818663,10172.50
50,7.812154557939695e-06,0.797957,0.813420,10172.50
