Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,5.841146632616932e-05,1.055638,1.097377,10225.09
2,5.841146632616932e-05,1.031347,1.072642,10225.09
3,5.841146632616932e-05,1.018077,1.055625,10225.09
4,5.841146632616932e-05,1.009366,1.042836,10225.09
5,5.841146632616932e-05,1.003348,1.033561,10225.09
6,5.841146632616932e-05,0.999460,1.027364,10225.09
7,5.841146632616932e-05,0.997116,1.023188,10225.09
8,5.841146632616932e-05,0.995776,1.020880,10225.09
9,5.841146632616932e-05,0.995045,1.019792,10225.09
10,5.841146632616932e-05,0.994482,1.018528,10225.09
11,5.841146632616932e-05,0.993399,1.017400,10225.09
12,5.841146632616932e-05,0.992082,1.015881,10225.09
13,5.841146632616932e-05,0.990324,1.013931,10225.09
14,5.841146632616932e-05,0.988075,1.011492,10225.09
15,5.841146632616932e-05,0.985282,1.008451,10225.09
16,5.841146632616932e-05,0.981878,1.004904,10225.09
17,5.841146632616932e-05,0.977895,1.001005,10225.09
18,5.2684476203445775e-05,0.973391,0.996775,10225.09
19,5.2684476203445775e-05,0.968551,0.993011,10225.09
20,5.2684476203445775e-05,0.962720,0.985259,10225.09
21,5.2684476203445775e-05,0.954091,0.977766,10225.09
22,5.2684476203445775e-05,0.945757,0.970847,10225.09
23,5.2684476203445775e-05,0.938096,0.964234,10225.09
24,5.2684476203445775e-05,0.931047,0.958389,10225.09
25,5.2684476203445775e-05,0.924818,0.953059,10225.09
26,5.2684476203445775e-05,0.919387,0.948689,10225.09
27,5.2684476203445775e-05,0.914828,0.945029,10225.09
28,5.2684476203445775e-05,0.910910,0.941816,10225.09
29,5.2684476203445775e-05,0.907414,0.938903,10225.09
30,5.2684476203445775e-05,0.904244,0.936142,10225.09
31,5.2684476203445775e-05,0.901294,0.933543,10225.09
32,5.2684476203445775e-05,0.898532,0.931064,10225.09
33,5.2684476203445775e-05,0.895873,0.928756,10225.09
34,5.2684476203445775e-05,0.893306,0.926386,10225.09
35,5.2684476203445775e-05,0.890787,0.924089,10225.09
36,4.751899254389894e-05,0.888338,0.921835,10225.09
37,4.751899254389894e-05,0.885796,0.919809,10225.09
38,4.751899254389894e-05,0.883452,0.917244,10225.09
39,4.751899254389894e-05,0.880779,0.914887,10225.09
40,4.751899254389894e-05,0.878208,0.912603,10225.09
41,4.751899254389894e-05,0.875769,0.910460,10225.09
42,4.751899254389894e-05,0.873350,0.908273,10225.09
43,4.751899254389894e-05,0.870938,0.906103,10225.09
44,4.751899254389894e-05,0.868530,0.903843,10225.09
45,4.751899254389894e-05,0.866129,0.901502,10225.09
46,4.751899254389894e-05,0.863772,0.899135,10225.09
47,4.751899254389894e-05,0.861417,0.896901,10225.09
48,4.751899254389894e-05,0.859021,0.894530,10225.09
49,4.751899254389894e-05,0.856677,0.892185,10225.09
50,4.751899254389894e-05,0.854320,0.889751,10225.09
