Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,1.1097353144982789e-05,0.996597,1.017811,10172.50
2,1.1097353144982789e-05,0.982295,0.985835,10172.50
3,1.1097353144982789e-05,0.943321,0.948432,10172.50
4,1.1097353144982789e-05,0.912837,0.927616,10172.50
5,1.1097353144982789e-05,0.892936,0.909839,10172.50
6,1.1097353144982789e-05,0.875437,0.891826,10172.50
7,1.1097353144982789e-05,0.856204,0.870573,10172.50
8,1.1097353144982789e-05,0.832102,0.839736,10172.50
9,1.1097353144982789e-05,0.797871,0.792339,10172.50
10,1.1097353144982789e-05,0.758425,0.751546,10172.50
11,1.1097353144982789e-05,0.727663,0.719740,10172.50
12,1.1097353144982789e-05,0.702458,0.695014,10172.50
13,1.1097353144982789e-05,0.681084,0.674243,10172.50
14,1.1097353144982789e-05,0.663200,0.654860,10172.50
15,1.1097353144982789e-05,0.647715,0.636811,10172.50
16,1.1097353144982789e-05,0.632822,0.619357,10172.50
17,1.1097353144982789e-05,0.618949,0.602612,10172.50
18,1.0185761822017777e-05,0.605819,0.586786,10172.50
19,1.0185761822017777e-05,0.593124,0.572475,10172.50
20,1.0185761822017777e-05,0.581779,0.558588,10172.50
21,1.0185761822017777e-05,0.570475,0.544530,10172.50
22,1.0185761822017777e-05,0.559449,0.530884,10172.50
23,1.0185761822017777e-05,0.547944,0.517817,10172.50
24,1.0185761822017777e-05,0.537279,0.505780,10172.50
25,1.0185761822017777e-05,0.526749,0.495213,10172.50
26,1.0185761822017777e-05,0.518119,0.487010,10172.50
27,1.0185761822017777e-05,0.510494,0.480624,10172.50
28,1.0185761822017777e-05,0.504388,0.475835,10172.50
29,1.0185761822017777e-05,0.499118,0.471706,10172.50
30,1.0185761822017777e-05,0.494649,0.468552,10172.50
31,1.0185761822017777e-05,0.490662,0.465927,10172.50
32,1.0185761822017777e-05,0.487023,0.463510,10172.50
33,1.0185761822017777e-05,0.484273,0.461435,10172.50
34,1.0185761822017777e-05,0.481494,0.459822,10172.50
35,1.0185761822017777e-05,0.478976,0.458164,10172.50
36,9.349053106576236e-06,0.476563,0.456712,10172.50
37,9.349053106576236e-06,0.474445,0.455560,10172.50
38,9.349053106576236e-06,0.472582,0.454457,10172.50
39,9.349053106576236e-06,0.470698,0.453515,10172.50
40,9.349053106576236e-06,0.469002,0.452386,10172.50
41,9.349053106576236e-06,0.467446,0.451140,10172.50
42,9.349053106576236e-06,0.465930,0.450446,10172.50
43,9.349053106576236e-06,0.464542,0.449167,10172.50
44,9.349053106576236e-06,0.463127,0.447929,10172.50
45,9.349053106576236e-06,0.461943,0.447951,10172.50
46,9.349053106576236e-06,0.460690,0.446564,10172.50
47,9.349053106576236e-06,0.459571,0.446274,10172.50
48,9.349053106576236e-06,0.458815,0.445013,10172.50
49,9.349053106576236e-06,0.457743,0.445140,10172.50
50,9.349053106576236e-06,0.456652,0.443774,10172.50
